"TYPE_CODE","MANUFACTURER","MODEL","ENGINE_TYPE"
"G64T","AG-CAT","G-164 Super Turbine","Turboprop/Turboshaft"
"G64T","AG-CAT","Super Turbine","Turboprop/Turboshaft"
"MX65","AGRO-COPTEROS","Amigo","Piston"
"MX10","AGRO-COPTEROS","Aventura","Piston"
"MX10","AGRO-COPTEROS","MXP-100 Aventura","Piston"
"MX65","AGRO-COPTEROS","MXP-650 Amigo","Piston"
"SVNH","AGRO-COPTEROS","MXP-740 Savannah","Piston"
"SVNH","AGRO-COPTEROS","Savannah","Piston"
"SCAM","AGRO-COPTEROS","Scamp","Piston"
"PZ26","AGROLOT","Mrówka","Piston"
"PZ26","AGROLOT","PZL-126 Mrówka","Piston"
"A109","AGUSTA","A-109","Turboprop/Turboshaft"
"A109","AGUSTA","A-109 Grand","Turboprop/Turboshaft"
"A109","AGUSTA","A-109 Power","Turboprop/Turboshaft"
"A119","AGUSTA","A-119 Koala","Turboprop/Turboshaft"
"A129","AGUSTA","A-129 Mangusta","Turboprop/Turboshaft"
"B47G","AGUSTA","AB-47G","Piston"
"B47J","AGUSTA","AB-47J","Piston"
"UH1","AGUSTA","AB-204","Turboprop/Turboshaft"
"UH1","AGUSTA","AB-205","Turboprop/Turboshaft"
"B06","AGUSTA","AB-206 JetRanger","Turboprop/Turboshaft"
"B06","AGUSTA","AB-206 LongRanger","Turboprop/Turboshaft"
"B212","AGUSTA","AB-212","Turboprop/Turboshaft"
"B412","AGUSTA","AB-412","Turboprop/Turboshaft"
"B412","AGUSTA","AB-412 Griffon","Turboprop/Turboshaft"
"S61","AGUSTA","AS-61A","Turboprop/Turboshaft"
"S61","AGUSTA","AS-61N","Turboprop/Turboshaft"
"S61R","AGUSTA","AS-61R","Turboprop/Turboshaft"
"S61","AGUSTA","ASH-61","Turboprop/Turboshaft"
"A119","AGUSTA","AW-119 Koala","Turboprop/Turboshaft"
"A139","AGUSTA","AW-139","Turboprop/Turboshaft"
"A109","AGUSTA","Grand","Turboprop/Turboshaft"
"B412","AGUSTA","Griffon","Turboprop/Turboshaft"
"A109","AGUSTA","GrandNew","Turboprop/Turboshaft"
"A109","AGUSTA","AW-109 Da Vinci","Turboprop/Turboshaft"
"A109","AGUSTA","Da Vinci","Turboprop/Turboshaft"
"S61R","AGUSTA","HH-3","Turboprop/Turboshaft"
"UH1","AGUSTA","Hkp3","Turboprop/Turboshaft"
"B06","AGUSTA","Hkp6 JetRanger","Turboprop/Turboshaft"
"B412","AGUSTA","Hkp11","Turboprop/Turboshaft"
"A109","AGUSTA","Hkp15","Turboprop/Turboshaft"
"B06","AGUSTA","JetRanger","Turboprop/Turboshaft"
"A119","AGUSTA","Koala","Turboprop/Turboshaft"
"B06","AGUSTA","LongRanger","Turboprop/Turboshaft"
"A129","AGUSTA","Mangusta","Turboprop/Turboshaft"
"A109","AGUSTA","MH-68 Stingray","Turboprop/Turboshaft"
"H500","AGUSTA","NH-500","Turboprop/Turboshaft"
"A109","AGUSTA","Power","Turboprop/Turboshaft"
"S61","AGUSTA","SH-3","Turboprop/Turboshaft"
"A109","AGUSTA","Stingray","Turboprop/Turboshaft"
"A109","AGUSTA","AW-109","Turboprop/Turboshaft"
"A109","AGUSTA","AW-109 GrandNew","Turboprop/Turboshaft"
"A109","AGUSTA","AW-109 Power","Turboprop/Turboshaft"
"A109","AGUSTA","AW-109 Grand","Turboprop/Turboshaft"
"A109","AGUSTA","Nexus","Turboprop/Turboshaft"
"A149","AGUSTA","AW-149","Turboprop/Turboshaft"
"A109","AGUSTA","A-109 Nexus","Turboprop/Turboshaft"
"A109","AGUSTA","AW-109 Nexus","Turboprop/Turboshaft"
"A129","AGUSTA","AW-129","Turboprop/Turboshaft"
"A129","AGUSTA","T-129","Turboprop/Turboshaft"
"A139","AGUSTA","UH-139","Turboprop/Turboshaft"
"A109","AGUSTA","AW-109 Trekker","Turboprop/Turboshaft"
"A109","AGUSTA","Trekker","Turboprop/Turboshaft"
"A109","AGUSTA","ESC-2","Turboprop/Turboshaft"
"A109","AGUSTAWESTLAND","AW-109","Turboprop/Turboshaft"
"A109","AGUSTAWESTLAND","AW-109 Grand","Turboprop/Turboshaft"
"A109","AGUSTAWESTLAND","Grand","Turboprop/Turboshaft"
"EH10","AGUSTAWESTLAND","EH-101 Merlin","Turboprop/Turboshaft"
"EH10","AGUSTAWESTLAND","SH-101","Turboprop/Turboshaft"
"EH10","AGUSTAWESTLAND","UH-101","Turboprop/Turboshaft"
"EH10","AGUSTAWESTLAND","HH-101 Caesar","Turboprop/Turboshaft"
"EH10","AGUSTAWESTLAND","Caesar","Turboprop/Turboshaft"
"A139","AGUSTAWESTLAND","HH-139","Turboprop/Turboshaft"
"A139","AGUSTAWESTLAND","VH-139","Turboprop/Turboshaft"
"A139","AGUSTAWESTLAND","UH-139","Turboprop/Turboshaft"
"EH10","AGUSTAWESTLAND","MCH-101","Turboprop/Turboshaft"
"EH10","AGUSTAWESTLAND","AW-101  Merlin Joint Supporter","Turboprop/Turboshaft"
"LYNX","AGUSTAWESTLAND","WG-13 Super Lynx","Turboprop/Turboshaft"
"LYNX","AGUSTAWESTLAND","Super Lynx","Turboprop/Turboshaft"
"LYNX","AGUSTAWESTLAND","AW-159 Wildcat","Turboprop/Turboshaft"
"LYNX","AGUSTAWESTLAND","Wildcat","Turboprop/Turboshaft"
"EH10","AGUSTAWESTLAND","AW-101","Turboprop/Turboshaft"
"EH10","AGUSTAWESTLAND","EH-101","Turboprop/Turboshaft"
"EH10","AGUSTAWESTLAND","EH-101 Merlin Joint Supporter","Turboprop/Turboshaft"
"EH10","AGUSTAWESTLAND","Merlin Joint Supporter","Turboprop/Turboshaft"
"A109","AGUSTAWESTLAND","AW-109 Power","Turboprop/Turboshaft"
"A109","AGUSTAWESTLAND","Power","Turboprop/Turboshaft"
"A109","AGUSTAWESTLAND","AW-109 GrandNew","Turboprop/Turboshaft"
"A109","AGUSTAWESTLAND","GrandNew","Turboprop/Turboshaft"
"A119","AGUSTAWESTLAND","AW-119 Koala","Turboprop/Turboshaft"
"A119","AGUSTAWESTLAND","Koala","Turboprop/Turboshaft"
"A129","AGUSTAWESTLAND","AW-129","Turboprop/Turboshaft"
"A139","AGUSTAWESTLAND","AW-139","Turboprop/Turboshaft"
"A149","AGUSTAWESTLAND","AW-149","Turboprop/Turboshaft"
"A169","AGUSTAWESTLAND","AW-169","Turboprop/Turboshaft"
"A189","AGUSTAWESTLAND","AW-189","Turboprop/Turboshaft"
"B609","AGUSTAWESTLAND","AW-609","Turboprop/Turboshaft"
"EH10","AGUSTAWESTLAND","Merlin","Turboprop/Turboshaft"
"H47","AGUSTAWESTLAND","ICH-47 Chinook","Turboprop/Turboshaft"
"H47","AGUSTAWESTLAND","Chinook","Turboprop/Turboshaft"
"LYNX","AGUSTAWESTLAND","AW-159 Lynx Wildcat","Turboprop/Turboshaft"
"LYNX","AGUSTAWESTLAND","Lynx Wildcat","Turboprop/Turboshaft"
"RJ70","AI(R)","Avroliner (RJ-70)","Jet"
"RJ85","AI(R)","Avroliner (RJ-85)","Jet"
"RJ1H","AI(R)","Avroliner (RJ-100)","Jet"
"JS41","AI(R)","BAe-4100 Jetstream 41","Turboprop/Turboshaft"
"JS41","AI(R)","Jetstream 41","Turboprop/Turboshaft"
"RJ70","AI(R)","RJ-70 Avroliner","Jet"
"RJ85","AI(R)","RJ-85 Avroliner","Jet"
"RJ1H","AI(R)","RJ-100 Avroliner","Jet"
"SV4","AIAA","SV-4","Piston"
"AEST","AICSA","Aerostar","Piston"
"AN2","AICSA","An-2","Piston"
"P28A","AICSA","Archer 2","Piston"
"P28A","AICSA","Cherokee (PA-28-140/180)","Piston"
"P28B","AICSA","Cherokee (PA-28-235)","Piston"
"P28A","AICSA","Cherokee Archer","Piston"
"P28A","AICSA","Cherokee Archer 2","Piston"
"P28R","AICSA","Cherokee Arrow","Piston"
"P28R","AICSA","Cherokee Arrow 2","Piston"
"P28B","AICSA","Cherokee Charger","Piston"
"P28A","AICSA","Cherokee Cruiser","Piston"
"P28B","AICSA","Cherokee Pathfinder","Piston"
"PA32","AICSA","Cherokee Six","Piston"
"P28A","AICSA","Cherokee Warrior 2","Piston"
"PAY2","AICSA","Cheyenne 2","Turboprop/Turboshaft"
"PAY2","AICSA","Cheyenne 2XL","Turboprop/Turboshaft"
"PAY3","AICSA","Cheyenne 3","Turboprop/Turboshaft"
"PA31","AICSA","Chieftain","Piston"
"P28B","AICSA","Dakota","Piston"
"P32R","AICSA","Lance","Piston"
"PA31","AICSA","Navajo","Piston"
"PA31","AICSA","Navajo Chieftain","Piston"
"PA31","AICSA","Navajo CR","Piston"
"P28A","AICSA","PA-28-140 Cherokee","Piston"
"P28A","AICSA","PA-28-140 Cherokee Cruiser","Piston"
"P28A","AICSA","PA-28-161 Cherokee Warrior 2","Piston"
"P28A","AICSA","PA-28-161 Warrior 2","Piston"
"P28A","AICSA","PA-28-180 Cherokee","Piston"
"P28A","AICSA","PA-28-180 Cherokee Archer","Piston"
"P28A","AICSA","PA-28-181 Archer 2","Piston"
"P28A","AICSA","PA-28-181 Cherokee Archer 2","Piston"
"P28B","AICSA","PA-28-201T Turbo Dakota","Piston"
"P28B","AICSA","PA-28-235 Cherokee","Piston"
"P28B","AICSA","PA-28-235 Cherokee Charger","Piston"
"P28B","AICSA","PA-28-235 Cherokee Pathfinder","Piston"
"P28B","AICSA","PA-28-236 Dakota","Piston"
"P28R","AICSA","PA-28R-180 Cherokee Arrow","Piston"
"P28R","AICSA","PA-28R-200 Cherokee Arrow 2","Piston"
"PA30","AICSA","PA-30 Twin Comanche","Piston"
"PA31","AICSA","PA-31-310 Navajo","Piston"
"PA31","AICSA","PA-31-325 Navajo CR","Piston"
"PA31","AICSA","PA-31-350 Chieftain","Piston"
"PA31","AICSA","PA-31-350 Navajo Chieftain","Piston"
"PAY2","AICSA","PA-31T2-620 Cheyenne 2XL","Turboprop/Turboshaft"
"PAY2","AICSA","PA-31T-620 Cheyenne 2","Turboprop/Turboshaft"
"PA32","AICSA","PA-32 Cherokee Six","Piston"
"PA32","AICSA","PA-32 Saratoga","Piston"
"PA32","AICSA","PA-32 Six","Piston"
"PA32","AICSA","PA-32 Turbo Saratoga","Piston"
"P32R","AICSA","PA-32R-300 Lance","Piston"
"P32R","AICSA","PA-32R-301T Turbo Saratoga SP","Piston"
"P32T","AICSA","PA-32RT Turbo Lance 2","Piston"
"PA34","AICSA","PA-34 Seneca","Piston"
"PA36","AICSA","PA-36 Pawnee Brave","Piston"
"PA38","AICSA","PA-38 Tomahawk","Piston"
"PAY3","AICSA","PA-42-720 Cheyenne 3","Turboprop/Turboshaft"
"PA44","AICSA","PA-44 Seminole","Piston"
"PA36","AICSA","Pawnee Brave","Piston"
"PA32","AICSA","Saratoga","Piston"
"PA44","AICSA","Seminole","Piston"
"PA34","AICSA","Seneca","Piston"
"PA32","AICSA","Six","Piston"
"PA38","AICSA","Tomahawk","Piston"
"P28B","AICSA","Turbo Dakota","Piston"
"PA32","AICSA","Turbo Saratoga","Piston"
"P32R","AICSA","Turbo Saratoga SP","Piston"
"PA30","AICSA","Twin Comanche","Piston"
"P28A","AICSA","Warrior 2","Piston"
"P32T","AICSA","Turbo Lance 2","Piston"
"P28S","AICSA","PA-28R-201T Turbo Cherokee Arrow 3","Piston"
"P28U","AICSA","PA-28RT-201T Turbo Arrow 4","Piston"
"P28U","AICSA","Turbo Arrow 4","Piston"
"P28S","AICSA","PA-28R-201T Turbo Arrow 3","Piston"
"P28S","AICSA","Turbo Cherokee Arrow 3","Piston"
"P28S","AICSA","Turbo Arrow 3","Piston"
"CH1","AIDC","A-CH-1 Chung-Tsing","Turboprop/Turboshaft"
"AT3","AIDC","AT-3 Tzu-Chung","Jet"
"CKUO","AIDC","Ching-Kuo","Jet"
"F5","AIDC","Chung-Cheng","Jet"
"CH1","AIDC","Chung-Tsing","Turboprop/Turboshaft"
"F5","AIDC","F-5 Chung-Cheng","Jet"
"CKUO","AIDC","F-CK-1 Ching-Kuo","Jet"
"CH1","AIDC","R-CH-1 Chung-Tsing","Turboprop/Turboshaft"
"CH1","AIDC","T-CH-1 Chung-Tsing","Turboprop/Turboshaft"
"AT3","AIDC","Tzu-Chung","Jet"
"UH1","AIDC","UH-1","Turboprop/Turboshaft"
"RV6","AIEP","Air Beetle","Piston"
"RV6","AII","AVA-202","Piston"
"M18","AII","AVA-303","Piston"
"A748","AIL","748","Turboprop/Turboshaft"
"EPIC","AIR","Epic Dynasty","Turboprop/Turboshaft"
"ELIT","AIR","Epic Elite","Jet"
"ESCA","AIR","Epic Escape","Turboprop/Turboshaft"
"EPIC","AIR","Epic LT","Turboprop/Turboshaft"
"EVIC","AIR","Epic Victory","Jet"
"UM18","AIR & SPACE","18","Piston"
"TSTR","AIR & SPACE","Twinstar","Piston"
"CMD1","AIR COMMAND","Commander 147","Piston"
"CMDT","AIR COMMAND","Commander  Elite Tandem ","Piston"
"CMDE","AIR COMMAND","Commander Elite Side-by-Side","Piston"
"FU24","AIR PARTS","Fletcher FU-24","Piston"
"ERCO","AIR PRODUCTS","Aircoupe","Piston"
"ERCO","AIR PRODUCTS","F-1 Aircoupe","Piston"
"AT3P","AIR TRACTOR","AT-300","Piston"
"AT3P","AIR TRACTOR","AT-301","Piston"
"AT3T","AIR TRACTOR","AT-302","Turboprop/Turboshaft"
"AT3T","AIR TRACTOR","AT-400","Turboprop/Turboshaft"
"AT3P","AIR TRACTOR","AT-401","Piston"
"AT3T","AIR TRACTOR","AT-402","Turboprop/Turboshaft"
"AT5P","AIR TRACTOR","AT-501","Piston"
"AT5T","AIR TRACTOR","AT-502","Turboprop/Turboshaft"
"AT5T","AIR TRACTOR","AT-503","Turboprop/Turboshaft"
"AT6T","AIR TRACTOR","AT-602","Turboprop/Turboshaft"
"AT8T","AIR TRACTOR","AT-802","Turboprop/Turboshaft"
"AT8T","AIR TRACTOR","AT-802 Fire Boss","Turboprop/Turboshaft"
"AT8T","AIR TRACTOR","Fire Boss","Turboprop/Turboshaft"
"AT5T","AIR TRACTOR","AT-504","Turboprop/Turboshaft"
"AT2P","AIR TRACTOR","AT-250","Piston"
"A332","AIRBUS","KC-30","Jet"
"A339","AIRBUS","A-330-900","Jet"
"A19N","AIRBUS","A-319neo","Jet"
"A20N","AIRBUS","A-320neo","Jet"
"A21N","AIRBUS","A-321neo","Jet"
"EFAN","AIRBUS","E-Fan","Electric"
"A332","AIRBUS","A-330-200 Voyager","Jet"
"A332","AIRBUS","Voyager","Jet"
"A400","AIRBUS","A-400M Atlas","Turboprop/Turboshaft"
"A400","AIRBUS","Grizzly","Turboprop/Turboshaft"
"A400","AIRBUS","Atlas","Turboprop/Turboshaft"
"C295","AIRBUS","C-295","Turboprop/Turboshaft"
"C295","AIRBUS","C-295 Persuader","Turboprop/Turboshaft"
"C295","AIRBUS","Persuader (C-295)","Turboprop/Turboshaft"
"C295","AIRBUS","SC-105 Amazonas","Turboprop/Turboshaft"
"C295","AIRBUS","Amazonas","Turboprop/Turboshaft"
"CN35","AIRBUS","CN-235","Turboprop/Turboshaft"
"CN35","AIRBUS","CN-235 Persuader","Turboprop/Turboshaft"
"CN35","AIRBUS","Persuader (CN-235)","Turboprop/Turboshaft"
"CN35","AIRBUS","HC-144 Ocean Sentry","Turboprop/Turboshaft"
"CN35","AIRBUS","Ocean Sentry","Turboprop/Turboshaft"
"A35K","AIRBUS","A-350-1000 XWB","Jet"
"A35K","AIRBUS","A-350-1000 XWB Prestige","Jet"
"A35K","AIRBUS","Prestige (A-350-1000)","Jet"
"A319","AIRBUS","VC-1 ACJ","Jet"
"A400","AIRBUS","A-400M Grizzly","Turboprop/Turboshaft"
"A318","AIRBUS","Elite","Jet"
"A318","AIRBUS","A-318 Elite","Jet"
"A320","AIRBUS","A-320 Prestige","Jet"
"A332","AIRBUS","A-330-200 Prestige","Jet"
"A342","AIRBUS","A-340-200 Prestige","Jet"
"A343","AIRBUS","A-340-300 Prestige","Jet"
"A345","AIRBUS","A-340-500 Prestige","Jet"
"A346","AIRBUS","A-340-600 Prestige","Jet"
"A388","AIRBUS","A-380-800 Prestige","Jet"
"A320","AIRBUS","Prestige (A-320)","Jet"
"A332","AIRBUS","Prestige (A-330-200)","Jet"
"A342","AIRBUS","Prestige (A-340-200)","Jet"
"A343","AIRBUS","Prestige (A-340-300)","Jet"
"A345","AIRBUS","Prestige (A-340-500)","Jet"
"A346","AIRBUS","Prestige (A-340-600)","Jet"
"A388","AIRBUS","Prestige (A-380-800)","Jet"
"BCS1","AIRBUS","A-220-100 ACJ TwoTwenty","Jet"
"BCS1","AIRBUS","ACJ TwoTwenty","Jet"
"A319","AIRBUS","ACJ (A-319)","Jet"
"A19N","AIRBUS","ACJ-319neo","Jet"
"A20N","AIRBUS","ACJ-320neo","Jet"
"A338","AIRBUS","ACJ-330-800","Jet"
"A339","AIRBUS","ACJ-330-900","Jet"
"A359","AIRBUS","ACJ-350-900","Jet"
"A35K","AIRBUS","ACJ-350-1000","Jet"
"A338","AIRBUS","A-330-800","Jet"
"A337","AIRBUS","A-330-700 Beluga XL","Jet"
"A337","AIRBUS","Beluga XL","Jet"
"BCS1","AIRBUS","A-220-100","Jet"
"BCS3","AIRBUS","A-220-300","Jet"
"A30B","AIRBUS","A-300B2","Jet"
"A30B","AIRBUS","A-300B2-1","Jet"
"A30B","AIRBUS","A-300B2-100","Jet"
"A30B","AIRBUS","A-300B2-200","Jet"
"A30B","AIRBUS","A-300B2K-3","Jet"
"A30B","AIRBUS","A-300B4-2","Jet"
"A30B","AIRBUS","A-300B4-100","Jet"
"A30B","AIRBUS","A-300B4-200","Jet"
"A306","AIRBUS","A-300B4-600","Jet"
"A30B","AIRBUS","A-300C4-200","Jet"
"A306","AIRBUS","A-300C4-600","Jet"
"A30B","AIRBUS","A-300F4-200","Jet"
"A306","AIRBUS","A-300F4-600","Jet"
"A3ST","AIRBUS","A-300ST Beluga","Jet"
"A3ST","AIRBUS","A-300ST Super Transporter","Jet"
"A310","AIRBUS","A-310","Jet"
"A318","AIRBUS","A-318","Jet"
"A319","AIRBUS","A-319","Jet"
"A319","AIRBUS","A-319 ACJ","Jet"
"A320","AIRBUS","A-320","Jet"
"A321","AIRBUS","A-321","Jet"
"A332","AIRBUS","A-330-200","Jet"
"A333","AIRBUS","A-330-300","Jet"
"A342","AIRBUS","A-340-200","Jet"
"A343","AIRBUS","A-340-300","Jet"
"A345","AIRBUS","A-340-500","Jet"
"A346","AIRBUS","A-340-600","Jet"
"A388","AIRBUS","A-380-800","Jet"
"A3ST","AIRBUS","Beluga","Jet"
"A310","AIRBUS","CC-150 Polaris","Jet"
"A310","AIRBUS","Polaris","Jet"
"A3ST","AIRBUS","Super Transporter","Jet"
"A359","AIRBUS","A-350-900 XWB","Jet"
"A359","AIRBUS","A-350-900 XWB Prestige","Jet"
"A359","AIRBUS","Prestige (A-350-900)","Jet"
"C212","AIRBUS","C-212","Turboprop/Turboshaft"
"H160","AIRBUS HELICOPTERS","H-160","Turboprop/Turboshaft"
"AS32","AIRBUS HELICOPTERS","H-215","Turboprop/Turboshaft"
"TIGR","AIRBUS HELICOPTERS","EC-665 Tigre","Turboprop/Turboshaft"
"TIGR","AIRBUS HELICOPTERS","Tiger","Turboprop/Turboshaft"
"TIGR","AIRBUS HELICOPTERS","EC-665 Tiger","Turboprop/Turboshaft"
"AS32","AIRBUS HELICOPTERS","AS-332C Super Puma","Turboprop/Turboshaft"
"AS32","AIRBUS HELICOPTERS","AS-532AL Cougar","Turboprop/Turboshaft"
"AS32","AIRBUS HELICOPTERS","Super Puma","Turboprop/Turboshaft"
"AS32","AIRBUS HELICOPTERS","Cougar","Turboprop/Turboshaft"
"EC25","AIRBUS HELICOPTERS","EC-725 Cougar Mk2+","Turboprop/Turboshaft"
"EC25","AIRBUS HELICOPTERS","EC-225 Super Puma Mk2+","Turboprop/Turboshaft"
"EC25","AIRBUS HELICOPTERS","Cougar Mk2+","Turboprop/Turboshaft"
"EC20","AIRBUS HELICOPTERS","H-120 Colibri","Turboprop/Turboshaft"
"AS50","AIRBUS HELICOPTERS","H-125 Ecureuil","Turboprop/Turboshaft"
"AS50","AIRBUS HELICOPTERS","H-125 SuperStar","Turboprop/Turboshaft"
"AS50","AIRBUS HELICOPTERS","H-125 Fennec","Turboprop/Turboshaft"
"EC30","AIRBUS HELICOPTERS","H-130","Turboprop/Turboshaft"
"EC35","AIRBUS HELICOPTERS","H-135","Turboprop/Turboshaft"
"EC55","AIRBUS HELICOPTERS","H-155","Turboprop/Turboshaft"
"EC25","AIRBUS HELICOPTERS","H-225 Cougar Mk2+","Turboprop/Turboshaft"
"EC25","AIRBUS HELICOPTERS","H-225 Super Puma Mk2+","Turboprop/Turboshaft"
"EC35","AIRBUS HELICOPTERS","EC-135 Bluecopter","Turboprop/Turboshaft"
"EC35","AIRBUS HELICOPTERS","Bluecopter","Turboprop/Turboshaft"
"EC25","AIRBUS HELICOPTERS","Super Puma Mk2+","Turboprop/Turboshaft"
"AS50","AIRBUS HELICOPTERS","AS-350 Ecureuil","Turboprop/Turboshaft"
"AS50","AIRBUS HELICOPTERS","AS-350 SuperStar","Turboprop/Turboshaft"
"AS50","AIRBUS HELICOPTERS","AS-550 Fennec","Turboprop/Turboshaft"
"AS50","AIRBUS HELICOPTERS","Ecureuil","Turboprop/Turboshaft"
"AS50","AIRBUS HELICOPTERS","SuperStar","Turboprop/Turboshaft"
"AS50","AIRBUS HELICOPTERS","Fennec","Turboprop/Turboshaft"
"AS55","AIRBUS HELICOPTERS","AS-355 Ecureuil 2","Turboprop/Turboshaft"
"AS55","AIRBUS HELICOPTERS","Ecureuil 2","Turboprop/Turboshaft"
"EC30","AIRBUS HELICOPTERS","EC-130","Turboprop/Turboshaft"
"AS65","AIRBUS HELICOPTERS","AS-365 Dauphin 2","Turboprop/Turboshaft"
"AS65","AIRBUS HELICOPTERS","AS-565 Panther","Turboprop/Turboshaft"
"AS65","AIRBUS HELICOPTERS","Dauphin 2","Turboprop/Turboshaft"
"AS65","AIRBUS HELICOPTERS","Panther","Turboprop/Turboshaft"
"EC55","AIRBUS HELICOPTERS","EC-155","Turboprop/Turboshaft"
"EC35","AIRBUS HELICOPTERS","EC-135","Turboprop/Turboshaft"
"EC35","AIRBUS HELICOPTERS","EC-635","Turboprop/Turboshaft"
"EC20","AIRBUS HELICOPTERS","EC-120 Colibri","Turboprop/Turboshaft"
"EC20","AIRBUS HELICOPTERS","Colibri","Turboprop/Turboshaft"
"AS32","AIRBUS HELICOPTERS","AS-332L1 Super Puma","Turboprop/Turboshaft"
"TIGR","AIRBUS HELICOPTERS","Tigre","Turboprop/Turboshaft"
"EC75","AIRBUS HELICOPTERS-HARBIN","H-175","Turboprop/Turboshaft"
"EC75","AIRBUS HELICOPTERS-HARBIN","EC-175","Turboprop/Turboshaft"
"EC75","AIRBUS HELICOPTERS-HARBIN","Z-15","Turboprop/Turboshaft"
"EC45","AIRBUS HELICOPTERS-KAWASAKI","H-145","Turboprop/Turboshaft"
"EC45","AIRBUS HELICOPTERS-KAWASAKI","BK-117C-2","Turboprop/Turboshaft"
"EC45","AIRBUS HELICOPTERS-KAWASAKI","EC-145","Turboprop/Turboshaft"
"EC45","AIRBUS HELICOPTERS-KAWASAKI","UH-72 Lakota","Turboprop/Turboshaft"
"EC45","AIRBUS HELICOPTERS-KAWASAKI","Lakota","Turboprop/Turboshaft"
"EC45","AIRBUS HELICOPTERS-KAWASAKI","EC-645","Turboprop/Turboshaft"
"EC45","AIRBUS HELICOPTERS-KAWASAKI","BK-117D","Turboprop/Turboshaft"
"EC45","AIRBUS HELICOPTERS-KAWASAKI","BK-117D Jupiter","Turboprop/Turboshaft"
"EC45","AIRBUS HELICOPTERS-KAWASAKI","H-145 Jupiter","Turboprop/Turboshaft"
"EC45","AIRBUS HELICOPTERS-KAWASAKI","Jupiter","Turboprop/Turboshaft"
"VW10","AIRCONCEPT","Airbuggy","Piston"
"VW10","AIRCONCEPT","VoWi-10 Airbuggy","Piston"
"SPGY","AIRCRAFT DESIGNS","Sportster Gyro","Piston"
"STAL","AIRCRAFT DESIGNS","Stallion","Piston"
"STAL","AIRCRAFT DESIGNS","Super Stallion","Piston"
"STAT","AIRCRAFT DESIGNS","Turbine Stallion","Turboprop/Turboshaft"
"BU20","AIRCRAFT HYDRO-FORMING","Bushmaster 2000","Piston"
"L410","AIRCRAFT INDUSTRIES","L-410 Turbolet","Turboprop/Turboshaft"
"L410","AIRCRAFT INDUSTRIES","Turbolet","Turboprop/Turboshaft"
"A9","AIRCRAFT PARTS","A-9 Quail","Piston"
"A9","AIRCRAFT PARTS","Quail","Piston"
"BLKS","AIRCRAFT SPRUCE","Baby Lakes","Piston"
"BLKS","AIRCRAFT SPRUCE","Buddy Baby Lakes","Piston"
"RODS","AIRCRAFT SPRUCE","DR-107 One Design","Piston"
"R109","AIRCRAFT SPRUCE","DR-109 Rhino","Piston"
"RODS","AIRCRAFT SPRUCE","One Design","Piston"
"R109","AIRCRAFT SPRUCE","Rhino","Piston"
"BLKS","AIRCRAFT SPRUCE","Super Baby Lakes","Piston"
"TAIL","AIRCRAFT SPRUCE","Tailwind","Piston"
"VWIT","AIRCRAFT SPRUCE","V-Witt","Piston"
"TAIL","AIRCRAFT SPRUCE","W-10 Tailwind","Piston"
"ATAC","AIRCRAFT TECHNOLOGIES","Acro 1","Piston"
"ATIS","AIRCRAFT TECHNOLOGIES","Atlantis","Piston"
"M360","AIRCRAFT TECHNOLOGIES","Meyer-360","Piston"
"AVID","AIRDALE","Avid Flyer","Piston"
"SCOM","AIRDALE","Comet","Piston"
"AVID","AIRDALE","Flyer","Piston"
"MAGN","AIRDALE","Magnum","Piston"
"SPUP","AIRDROME AEROPLANES","Sopwith Pup Replica","Piston"
"FOUG","AIR-FOUGA","CM-170R Magister","Jet"
"FOUG","AIR-FOUGA","Magister","Jet"
"PA18","AIRFRAMES-DAKOTA CUB","Super 18","Piston"
"PA18","AIRFRAMES-DAKOTA CUB","S-18 Super 18","Piston"
"WILT","AIR-LIGHT","Wild Thing","Piston"
"WILT","AIR-LIGHT","WT-01 Wild Thing","Piston"
"WILT","AIR-LIGHT","WT-02 Wild Thing","Piston"
"ALSL","AIRLONY","Skylane","Piston"
"SMAX","AIRMAX","SeaMax","Piston"
"SMAX","AIRMAX","M-22 SeaMax","Piston"
"ONE","AIRNET","One","Piston"
"JFOX","AIRO","1","Piston"
"UF10","AIRO","5","Piston"
"SLG2","AIRPLANE FACTORY","Sling LSA","Piston"
"SLG4","AIRPLANE FACTORY","Sling 4 TSi","Piston"
"SLG2","AIRPLANE FACTORY","Sling 2","Piston"
"SLG4","AIRPLANE FACTORY","Sling 4","Piston"
"SNTA","AIRSPORT","Sonata","Piston"
"DHC2","AIRTECH (1)","Beaver","Piston"
"DHC2","AIRTECH (1)","DHC-2-PZL3S Beaver","Piston"
"DHC3","AIRTECH (1)","DHC-3-1000 Otter","Piston"
"DHC3","AIRTECH (1)","DHC-3-PZL3S Otter","Piston"
"DHC3","AIRTECH (1)","Otter","Piston"
"CN35","AIRTECH (2)","CN-235","Turboprop/Turboshaft"
"CN35","AIRTECH (2)","CN-235 Persuader","Turboprop/Turboshaft"
"CN35","AIRTECH (2)","Persuader","Turboprop/Turboshaft"
"I11B","AISA","I-11B Peque","Piston"
"I115","AISA","I-115","Piston"
"I11B","AISA","Peque","Piston"
"TAIL","AJEP","Tailwind","Piston"
"TAIL","AJEP","W-8 Tailwind","Piston"
"C02T","AJI","Turbo Star 402","Turboprop/Turboshaft"
"C14T","AJI","Turbo Star 414","Turboprop/Turboshaft"
